jsonstat,.,|
label,"Population by province of residence, place of birth, age, gender and year in Galicia"
source,INE and IGE
updated,2012-12-27T12:25:09Z
href,https://json-stat.org/samples/galicia.json
dimension,birth,place of birth,6,T,total,C,county of residence,P,another county in the same province,G,another province of Galicia,A,in another autonomous community,F,abroad,geo
dimension,age,age group,22,T,total,0,0-4,5,5-9,10,10-14,15,15-19,20,20-24,25,25-29,30,30-34,35,35-39,40,40-44,45,45-49,50,50-54,55,55-59,60,60-64,65,65-69,70,70-74,75,75-79,80,80-84,85,85-89,90,90-94,95,95-99,100,100+
dimension,gender,gender,3,T,total,M,male,F,female
dimension,time,year,2,2001,2001,2011,2011,time
dimension,residence,province of residence,5,T,total,15,A Coruña,27,Lugo,32,Ourense,36,Pontevedra,geo
dimension,concept,concept,1,pop,population,metric,0|persons
data
birth,age,gender,time,residence,concept,value
C,0,T,2011,32,pop,8312
C,0,T,2011,36,pop,36854
C,0,M,2001,T,pop,39610
C,0,M,2001,15,pop,15105
C,0,M,2001,27,pop,4425
C,0,M,2001,32,pop,3792
C,0,M,2001,36,pop,16288
C,0,M,2011,T,pop,47862
C,0,M,2011,15,pop,19268
C,0,M,2011,27,pop,4960
C,0,M,2011,32,pop,4340
C,0,M,2011,36,pop,19294
C,0,F,2001,T,pop,37361
C,0,F,2001,15,pop,14283
C,0,F,2001,27,pop,4218
C,0,F,2001,32,pop,3547
C,0,F,2001,36,pop,15313
C,0,F,2011,T,pop,44399
C,0,F,2011,15,pop,18118
C,0,F,2011,27,pop,4750
C,0,F,2011,32,pop,3972
C,0,F,2011,36,pop,17560
C,5,T,2001,T,pop,77607
C,5,T,2001,15,pop,28972
C,5,T,2001,27,pop,9552
C,5,T,2001,32,pop,8039
C,5,T,2001,36,pop,31044
C,5,T,2011,T,pop,80896
C,5,T,2011,15,pop,31486
C,5,T,2011,27,pop,8466
C,5,T,2011,32,pop,7367
C,5,T,2011,36,pop,33576
C,5,M,2001,T,pop,39882
C,5,M,2001,15,pop,14837
C,5,M,2001,27,pop,4831
C,5,M,2001,32,pop,4151
C,5,M,2001,36,pop,16063
C,5,M,2011,T,pop,41885
C,5,M,2011,15,pop,16228
C,5,M,2011,27,pop,4392
C,5,M,2011,32,pop,3784
C,5,M,2011,36,pop,17481
C,5,F,2001,T,pop,37725
C,5,F,2001,15,pop,14135
C,5,F,2001,27,pop,4721
C,5,F,2001,32,pop,3888
C,5,F,2001,36,pop,14981
C,5,F,2011,T,pop,39011
C,5,F,2011,15,pop,15258
C,5,F,2011,27,pop,4075
C,5,F,2011,32,pop,3583
C,5,F,2011,36,pop,16095
C,10,T,2001,T,pop,92266
C,10,T,2001,15,pop,35037
C,10,T,2001,27,pop,11945
C,10,T,2001,32,pop,9239
C,10,T,2001,36,pop,36045
C,10,T,2011,T,pop,72245
C,10,T,2011,15,pop,27788
C,10,T,2011,27,pop,8188
C,10,T,2011,32,pop,6667
C,10,T,2011,36,pop,29602
C,10,M,2001,T,pop,47384
C,10,M,2001,15,pop,18051
C,10,M,2001,27,pop,6099
C,10,M,2001,32,pop,4712
C,10,M,2001,36,pop,18522
C,10,M,2011,T,pop,37324
C,10,M,2011,15,pop,14343
C,10,M,2011,27,pop,4195
C,10,M,2011,32,pop,3415
C,10,M,2011,36,pop,15371
C,10,F,2001,T,pop,44882
C,10,F,2001,15,pop,16986
C,10,F,2001,27,pop,5846
C,10,F,2001,32,pop,4527
C,10,F,2001,36,pop,17523
C,10,F,2011,T,pop,34921
C,10,F,2011,15,pop,13445
C,10,F,2011,27,pop,3993
C,10,F,2011,32,pop,3252
C,10,F,2011,36,pop,14231
C,15,T,2001,T,pop,117043
C,15,T,2001,15,pop,45957
C,15,T,2001,27,pop,14810
C,15,T,2001,32,pop,11697
C,15,T,2001,36,pop,44579
C,15,T,2011,T,pop,74576
C,15,T,2011,15,pop,27779
C,15,T,2011,27,pop,9176
C,15,T,2011,32,pop,7596
C,15,T,2011,36,pop,30025
C,15,M,2001,T,pop,60048
C,15,M,2001,15,pop,23632
C,15,M,2001,27,pop,7514
C,15,M,2001,32,pop,6072
C,15,M,2001,36,pop,22830
C,15,M,2011,T,pop,38397
C,15,M,2011,15,pop,14188
C,15,M,2011,27,pop,4673
C,15,M,2011,32,pop,3953
C,15,M,2011,36,pop,15583
C,15,F,2001,T,pop,56995
C,15,F,2001,15,pop,22325
C,15,F,2001,27,pop,7296
C,15,F,2001,32,pop,5625
C,15,F,2001,36,pop,21749
C,15,F,2011,T,pop,36179
C,15,F,2011,15,pop,13591
C,15,F,2011,27,pop,4503
C,15,F,2011,32,pop,3642
C,15,F,2011,36,pop,14442
C,20,T,2001,T,pop,148915
C,20,T,2001,15,pop,59411
C,20,T,2001,27,pop,17347
C,20,T,2001,32,pop,14033
C,20,T,2001,36,pop,58124
C,20,T,2011,T,pop,86449
C,20,T,2011,15,pop,32674
C,20,T,2011,27,pop,11229
C,20,T,2011,32,pop,8426
C,20,T,2011,36,pop,34120
C,20,M,2001,T,pop,76715
C,20,M,2001,15,pop,30742
C,20,M,2001,27,pop,8991
C,20,M,2001,32,pop,7353
C,20,M,2001,36,pop,29629
C,20,M,2011,T,pop,44705
C,20,M,2011,15,pop,16953
C,20,M,2011,27,pop,5820
C,20,M,2011,32,pop,4322
C,20,M,2011,36,pop,17610
C,20,F,2001,T,pop,72200
C,20,F,2001,15,pop,28669
C,20,F,2001,27,pop,8356
C,20,F,2001,32,pop,6680
C,20,F,2001,36,pop,28495
C,20,F,2011,T,pop,41744
C,20,F,2011,15,pop,15720
C,20,F,2011,27,pop,5409
C,20,F,2011,32,pop,4103
C,20,F,2011,36,pop,16511
C,25,T,2001,T,pop,137504
C,25,T,2001,15,pop,54823
C,25,T,2001,27,pop,15566
C,25,T,2001,32,pop,12656
C,25,T,2001,36,pop,54459
C,25,T,2011,T,pop,98694
C,25,T,2011,15,pop,38509
C,25,T,2011,27,pop,12570
C,25,T,2011,32,pop,9419
C,25,T,2011,36,pop,38196
C,25,M,2001,T,pop,70887
C,25,M,2001,15,pop,28413
C,25,M,2001,27,pop,8046
C,25,M,2001,32,pop,6557
C,25,M,2001,36,pop,27871
C,25,M,2011,T,pop,51627
C,25,M,2011,15,pop,20103
C,25,M,2011,27,pop,6553
C,25,M,2011,32,pop,5004
C,25,M,2011,36,pop,19967
C,25,F,2001,T,pop,66617
C,25,F,2001,15,pop,26410
C,25,F,2001,27,pop,7520
C,25,F,2001,32,pop,6099
C,25,F,2001,36,pop,26588
C,25,F,2011,T,pop,47068
C,25,F,2011,15,pop,18405
C,25,F,2011,27,pop,6018
C,25,F,2011,32,pop,4415
C,25,F,2011,36,pop,18229
C,30,T,2001,T,pop,114435
C,30,T,2001,15,pop,44003
C,30,T,2001,27,pop,14094
C,30,T,2001,32,pop,11169
C,30,T,2001,36,pop,45169
C,30,T,2011,T,pop,115228
C,30,T,2011,15,pop,44879
C,30,T,2011,27,pop,13376
C,30,T,2011,32,pop,10201
C,30,T,2011,36,pop,46772
C,30,M,2001,T,pop,58979
C,30,M,2001,15,pop,22583
C,30,M,2001,27,pop,7594
C,30,M,2001,32,pop,6016
C,30,M,2001,36,pop,22786
C,30,M,2011,T,pop,59997
C,30,M,2011,15,pop,23438
C,30,M,2011,27,pop,7142
C,30,M,2011,32,pop,5460
C,30,M,2011,36,pop,23957
C,30,F,2001,T,pop,55456
C,30,F,2001,15,pop,21420
C,30,F,2001,27,pop,6500
C,30,F,2001,32,pop,5153
C,30,F,2001,36,pop,22383
C,30,F,2011,T,pop,55232
C,30,F,2011,15,pop,21441
C,30,F,2011,27,pop,6234
C,30,F,2011,32,pop,4742
C,30,F,2011,36,pop,22815
C,35,T,2001,T,pop,103254
C,35,T,2001,15,pop,39692
C,35,T,2001,27,pop,14095
C,35,T,2001,32,pop,10068
C,35,T,2001,36,pop,39399
C,35,T,2011,T,pop,108529
C,35,T,2011,15,pop,41710
C,35,T,2011,27,pop,12277
C,35,T,2011,32,pop,9372
C,35,T,2011,36,pop,45171
C,35,M,2001,T,pop,52328
C,35,M,2001,15,pop,20072
C,35,M,2001,27,pop,7623
C,35,M,2001,32,pop,5357
C,35,M,2001,36,pop,19276
C,35,M,2011,T,pop,55725
C,35,M,2011,15,pop,21434
C,35,M,2011,27,pop,6454
C,35,M,2011,32,pop,4908
C,35,M,2011,36,pop,22929
C,35,F,2001,T,pop,50926
C,35,F,2001,15,pop,19620
C,35,F,2001,27,pop,6472
C,35,F,2001,32,pop,4711
C,35,F,2001,36,pop,20123
C,35,F,2011,T,pop,52804
C,35,F,2011,15,pop,20277
C,35,F,2011,27,pop,5822
C,35,F,2011,32,pop,4463
C,35,F,2011,36,pop,22242
C,40,T,2001,T,pop,101162
C,40,T,2001,15,pop,38626
C,40,T,2001,27,pop,14167
C,40,T,2001,32,pop,10666
C,40,T,2001,36,pop,37703
C,40,T,2011,T,pop,101273
C,40,T,2011,15,pop,38274
C,40,T,2011,27,pop,12354
C,40,T,2011,32,pop,9447
C,40,T,2011,36,pop,41198
C,40,M,2001,T,pop,51775
C,40,M,2001,15,pop,19802
C,40,M,2001,27,pop,7863
C,40,M,2001,32,pop,5715
C,40,M,2001,36,pop,18395
C,40,M,2011,T,pop,51344
C,40,M,2011,15,pop,19237
C,40,M,2011,27,pop,6630
C,40,M,2011,32,pop,5103
C,40,M,2011,36,pop,20373
C,40,F,2001,T,pop,49387
C,40,F,2001,15,pop,18824
C,40,F,2001,27,pop,6304
C,40,F,2001,32,pop,4951
C,40,F,2001,36,pop,19308
C,40,F,2011,T,pop,49929
C,40,F,2011,15,pop,19036
C,40,F,2011,27,pop,5724
C,40,F,2011,32,pop,4344
C,40,F,2011,36,pop,20825
C,45,T,2001,T,pop,92890
C,45,T,2001,15,pop,35799
C,45,T,2001,27,pop,12817
C,45,T,2001,32,pop,10175
C,45,T,2001,36,pop,34099
C,45,T,2011,T,pop,97768
C,45,T,2011,15,pop,37270
C,45,T,2011,27,pop,13216
C,45,T,2011,32,pop,9587
C,45,T,2011,36,pop,37696
C,45,M,2001,T,pop,47384
C,45,M,2001,15,pop,18316
C,45,M,2001,27,pop,7126
C,45,M,2001,32,pop,5403
C,45,M,2001,36,pop,16539
C,45,M,2011,T,pop,48976
C,45,M,2011,15,pop,18575
C,45,M,2011,27,pop,7118
C,45,M,2011,32,pop,5054
C,45,M,2011,36,pop,18229
C,45,F,2001,T,pop,45506
C,45,F,2001,15,pop,17483
C,45,F,2001,27,pop,5691
C,45,F,2001,32,pop,4772
C,45,F,2001,36,pop,17560
C,45,F,2011,T,pop,48792
C,45,F,2011,15,pop,18694
C,45,F,2011,27,pop,6098
C,45,F,2011,32,pop,4533
C,45,F,2011,36,pop,19466
C,50,T,2001,T,pop,92580
C,50,T,2001,15,pop,36229
C,50,T,2001,27,pop,12478
C,50,T,2001,32,pop,10901
C,50,T,2001,36,pop,32972
C,50,T,2011,T,pop,97952
C,50,T,2011,15,pop,37232
C,50,T,2011,27,pop,13691
C,50,T,2011,32,pop,10488
C,50,T,2011,36,pop,36541
C,50,M,2001,T,pop,46254
C,50,M,2001,15,pop,18084
C,50,M,2001,27,pop,6675
C,50,M,2001,32,pop,5605
C,50,M,2001,36,pop,15890
C,50,M,2011,T,pop,49636
C,50,M,2011,15,pop,18852
C,50,M,2011,27,pop,7522
C,50,M,2011,32,pop,5555
C,50,M,2011,36,pop,17708
C,50,F,2001,T,pop,46326
C,50,F,2001,15,pop,18145
C,50,F,2001,27,pop,5803
C,50,F,2001,32,pop,5296
C,50,F,2001,36,pop,17082
C,50,F,2011,T,pop,48316
C,50,F,2011,15,pop,18381
C,50,F,2011,27,pop,6169
C,50,F,2011,32,pop,4933
C,50,F,2011,36,pop,18833
C,55,T,2001,T,pop,93052
C,55,T,2001,15,pop,35477
C,55,T,2001,27,pop,13206
C,55,T,2001,32,pop,12301
C,55,T,2001,36,pop,32068
C,55,T,2011,T,pop,90412
C,55,T,2011,15,pop,34610
C,55,T,2011,27,pop,12521
C,55,T,2011,32,pop,10244
C,55,T,2011,36,pop,33037
C,55,M,2001,T,pop,44925
C,55,M,2001,15,pop,17197
C,55,M,2001,27,pop,6659
C,55,M,2001,32,pop,5903
C,55,M,2001,36,pop,15166
C,55,M,2011,T,pop,45210
C,55,M,2011,15,pop,17348
C,55,M,2011,27,pop,6812
C,55,M,2011,32,pop,5323
C,55,M,2011,36,pop,15726
C,55,F,2001,T,pop,48127
C,55,F,2001,15,pop,18280
C,55,F,2001,27,pop,6547
C,55,F,2001,32,pop,6398
C,55,F,2001,36,pop,16902
C,55,F,2011,T,pop,45202
C,55,F,2011,15,pop,17262
C,55,F,2011,27,pop,5709
C,55,F,2011,32,pop,4921
C,55,F,2011,36,pop,17310
C,60,T,2001,T,pop,80456
C,60,T,2001,15,pop,29707
C,60,T,2001,27,pop,12998
C,60,T,2001,32,pop,11539
C,60,T,2001,36,pop,26212
C,60,T,2011,T,pop,89743
C,60,T,2011,15,pop,34824
C,60,T,2011,27,pop,12256
C,60,T,2011,32,pop,11049
C,60,T,2011,36,pop,31615
C,60,M,2001,T,pop,36933
C,60,M,2001,15,pop,13730
C,60,M,2001,27,pop,6248
C,60,M,2001,32,pop,5242
C,60,M,2001,36,pop,11713
C,60,M,2011,T,pop,43642
C,60,M,2011,15,pop,16861
C,60,M,2011,27,pop,6399
C,60,M,2011,32,pop,5508
C,60,M,2011,36,pop,14873
C,60,F,2001,T,pop,43523
C,60,F,2001,15,pop,15977
C,60,F,2001,27,pop,6750
C,60,F,2001,32,pop,6297
C,60,F,2001,36,pop,14499
C,60,F,2011,T,pop,46102
C,60,F,2011,15,pop,17963
C,60,F,2011,27,pop,5857
C,60,F,2011,32,pop,5540
C,60,F,2011,36,pop,16741
C,65,T,2001,T,pop,106541
C,65,T,2001,15,pop,38829
C,65,T,2001,27,pop,18048
C,65,T,2001,32,pop,16859
C,65,T,2001,36,pop,32805
C,65,T,2011,T,pop,88949
C,65,T,2011,15,pop,33706
C,65,T,2011,27,pop,12785
C,65,T,2011,32,pop,12319
C,65,T,2011,36,pop,30139
C,65,M,2001,T,pop,48177
C,65,M,2001,15,pop,17436
C,65,M,2001,27,pop,8705
C,65,M,2001,32,pop,7774
C,65,M,2001,36,pop,14262
C,65,M,2011,T,pop,41617
C,65,M,2011,15,pop,15699
C,65,M,2011,27,pop,6296
C,65,M,2011,32,pop,5869
C,65,M,2011,36,pop,13754
C,65,F,2001,T,pop,58364
C,65,F,2001,15,pop,21393
C,65,F,2001,27,pop,9343
C,65,F,2001,32,pop,9085
C,65,F,2001,36,pop,18543
C,65,F,2011,T,pop,47332
C,65,F,2011,15,pop,18008
C,65,F,2011,27,pop,6489
C,65,F,2011,32,pop,6450
C,65,F,2011,36,pop,16385
C,70,T,2001,T,pop,92977
C,70,T,2001,15,pop,33438
C,70,T,2001,27,pop,16844
C,70,T,2001,32,pop,15142
C,70,T,2001,36,pop,27553
C,70,T,2011,T,pop,73085
C,70,T,2011,15,pop,26925
C,70,T,2011,27,pop,11919
C,70,T,2011,32,pop,10786
C,70,T,2011,36,pop,23456
C,70,M,2001,T,pop,40726
C,70,M,2001,15,pop,14446
C,70,M,2001,27,pop,8006
C,70,M,2001,32,pop,6731
C,70,M,2001,36,pop,11543
C,70,M,2011,T,pop,32211
C,70,M,2011,15,pop,11907
C,70,M,2011,27,pop,5549
C,70,M,2011,32,pop,4854
C,70,M,2011,36,pop,9900
C,70,F,2001,T,pop,52251
C,70,F,2001,15,pop,18992
C,70,F,2001,27,pop,8838
C,70,F,2001,32,pop,8411
C,70,F,2001,36,pop,16010
C,70,F,2011,T,pop,40874
C,70,F,2011,15,pop,15018
C,70,F,2011,27,pop,6369
C,70,F,2011,32,pop,5932
C,70,F,2011,36,pop,13556
C,75,T,2001,T,pop,74142
C,75,T,2001,15,pop,25595
C,75,T,2001,27,pop,14412
C,75,T,2001,32,pop,13435
C,75,T,2001,36,pop,20700
C,75,T,2011,T,pop,88144
C,75,T,2011,15,pop,32182
C,75,T,2011,27,pop,15054
C,75,T,2011,32,pop,13976
C,75,T,2011,36,pop,26933
C,75,M,2001,T,pop,29969
C,75,M,2001,15,pop,10133
C,75,M,2001,27,pop,6464
C,75,M,2001,32,pop,5676
C,75,M,2001,36,pop,7696
C,75,M,2011,T,pop,36972
C,75,M,2011,15,pop,13336
C,75,M,2011,27,pop,6781
C,75,M,2011,32,pop,6094
C,75,M,2011,36,pop,10761
C,75,F,2001,T,pop,44173
C,75,F,2001,15,pop,15462
C,75,F,2001,27,pop,7948
C,75,F,2001,32,pop,7759
C,75,F,2001,36,pop,13004
C,75,F,2011,T,pop,51172
C,75,F,2011,15,pop,18846
C,75,F,2011,27,pop,8273
C,75,F,2011,32,pop,7882
C,75,F,2011,36,pop,16172
C,80,T,2001,T,pop,50188
C,80,T,2001,15,pop,17271
C,80,T,2001,27,pop,9771
C,80,T,2001,32,pop,9161
C,80,T,2001,36,pop,13985
C,80,T,2011,T,pop,65217
C,80,T,2011,15,pop,23516
C,80,T,2011,27,pop,11950
C,80,T,2011,32,pop,10524
C,80,T,2011,36,pop,19227
C,80,M,2001,T,pop,17978
C,80,M,2001,15,pop,5979
C,80,M,2001,27,pop,3952
C,80,M,2001,32,pop,3525
C,80,M,2001,36,pop,4522
C,80,M,2011,T,pop,25403
C,80,M,2011,15,pop,8949
C,80,M,2011,27,pop,5158
C,80,M,2011,32,pop,4260
C,80,M,2011,36,pop,7035
C,80,F,2001,T,pop,32210
C,80,F,2001,15,pop,11292
C,80,F,2001,27,pop,5819
C,80,F,2001,32,pop,5636
C,80,F,2001,36,pop,9463
C,80,F,2011,T,pop,39815
C,80,F,2011,15,pop,14567
C,80,F,2011,27,pop,6792
C,80,F,2011,32,pop,6263
C,80,F,2011,36,pop,12192
C,85,T,2001,T,pop,29070
C,85,T,2001,15,pop,9692
C,85,T,2001,27,pop,5766
C,85,T,2001,32,pop,5772
C,85,T,2001,36,pop,7840
C,85,T,2011,T,pop,38285
C,85,T,2011,15,pop,13241
C,85,T,2011,27,pop,7564
C,85,T,2011,32,pop,6754
C,85,T,2011,36,pop,10727
C,85,M,2001,T,pop,8920
C,85,M,2001,15,pop,2801
C,85,M,2001,27,pop,2132
C,85,M,2001,32,pop,1871
C,85,M,2001,36,pop,2116
C,85,M,2011,T,pop,12942
C,85,M,2011,15,pop,4279
C,85,M,2011,27,pop,2965
C,85,M,2011,32,pop,2472
C,85,M,2011,36,pop,3225
C,85,F,2001,T,pop,20150
C,85,F,2001,15,pop,6891
C,85,F,2001,27,pop,3634
C,85,F,2001,32,pop,3901
C,85,F,2001,36,pop,5724
C,85,F,2011,T,pop,25344
C,85,F,2011,15,pop,8962
C,85,F,2011,27,pop,4598
C,85,F,2011,32,pop,4281
C,85,F,2011,36,pop,7502
C,90,T,2001,T,pop,10348
C,90,T,2001,15,pop,3427
C,90,T,2001,27,pop,2167
C,90,T,2001,32,pop,2004
C,90,T,2001,36,pop,2750
C,90,T,2011,T,pop,15360
C,90,T,2011,15,pop,5338
C,90,T,2011,27,pop,3084
C,90,T,2011,32,pop,2699
C,90,T,2011,36,pop,4239
C,90,M,2001,T,pop,3265
C,90,M,2001,15,pop,986
C,90,M,2001,27,pop,887
C,90,M,2001,32,pop,694
C,90,M,2001,36,pop,698
C,90,M,2011,T,pop,4381
C,90,M,2011,15,pop,1435
C,90,M,2011,27,pop,1058
C,90,M,2011,32,pop,839
C,90,M,2011,36,pop,1049
C,90,F,2001,T,pop,8308
C,90,F,2001,15,pop,2873
C,90,F,2001,27,pop,1521
C,90,F,2001,32,pop,1541
C,90,F,2001,36,pop,2373
C,90,F,2011,T,pop,10979
C,90,F,2011,15,pop,3903
C,90,F,2011,27,pop,2026
C,90,F,2011,32,pop,1860
C,90,F,2011,36,pop,3191
C,95,T,2001,T,pop,2474
C,95,T,2001,15,pop,860
C,95,T,2001,27,pop,496
C,95,T,2001,32,pop,492
C,95,T,2001,36,pop,626
C,95,T,2011,T,pop,4015
C,95,T,2011,15,pop,1305
C,95,T,2011,27,pop,830
C,95,T,2011,32,pop,793
C,95,T,2011,36,pop,1086
C,95,M,2001,T,pop,609
C,95,M,2001,15,pop,174
C,95,M,2001,27,pop,174
C,95,M,2001,32,pop,126
C,95,M,2001,36,pop,135
C,95,M,2011,T,pop,936
C,95,M,2011,15,pop,290
C,95,M,2011,27,pop,257
C,95,M,2011,32,pop,172
C,95,M,2011,36,pop,217
C,95,F,2001,T,pop,1865
C,95,F,2001,15,pop,686
C,95,F,2001,27,pop,322
C,95,F,2001,32,pop,366
C,95,F,2001,36,pop,491
C,95,F,2011,T,pop,3079
C,95,F,2011,15,pop,1015
C,95,F,2011,27,pop,573
C,95,F,2011,32,pop,621
C,95,F,2011,36,pop,870
C,100,T,2001,T,pop,255
C,100,T,2001,15,pop,71
C,100,T,2001,27,pop,56
C,100,T,2001,32,pop,53
C,100,T,2001,36,pop,75
C,100,T,2011,T,pop,648
C,100,T,2011,15,pop,197
C,100,T,2011,27,pop,149
C,100,T,2011,32,pop,131
C,100,T,2011,36,pop,172
C,100,M,2001,T,pop,65
C,100,M,2001,15,pop,11
C,100,M,2001,27,pop,20
C,100,M,2001,32,pop,15
C,100,M,2001,36,pop,19
C,100,M,2011,T,pop,139
C,100,M,2011,15,pop,35
C,100,M,2011,27,pop,48
C,100,M,2011,32,pop,25
C,100,M,2011,36,pop,31
C,100,F,2001,T,pop,190
C,100,F,2001,15,pop,60
C,100,F,2001,27,pop,36
C,100,F,2001,32,pop,38
C,100,F,2001,36,pop,56
C,100,F,2011,T,pop,510
C,100,F,2011,15,pop,162
C,100,F,2011,27,pop,101
C,100,F,2011,32,pop,105
C,100,F,2011,36,pop,142
P,T,T,2001,T,pop,591569
P,T,T,2001,15,pop,289921
P,T,T,2001,27,pop,74279
P,T,T,2001,32,pop,78981
P,T,T,2001,36,pop,148388
P,T,T,2011,T,pop,655747
P,T,T,2011,15,pop,321573
P,T,T,2011,27,pop,74995
P,T,T,2011,32,pop,82655
P,T,T,2011,36,pop,176524
P,T,M,2001,T,pop,278166
P,T,M,2001,15,pop,135651
P,T,M,2001,27,pop,32807
P,T,M,2001,32,pop,36948
P,T,M,2001,36,pop,72760
P,T,M,2011,T,pop,311911
P,T,M,2011,15,pop,152407
P,T,M,2011,27,pop,33202
P,T,M,2011,32,pop,38907
P,T,M,2011,36,pop,87394
P,T,F,2001,T,pop,313403
P,T,F,2001,15,pop,154270
P,T,F,2001,27,pop,41472
P,T,F,2001,32,pop,42033
P,T,F,2001,36,pop,75628
P,T,F,2011,T,pop,343836
P,T,F,2011,15,pop,169166
P,T,F,2011,27,pop,41792
P,T,F,2011,32,pop,43748
P,T,F,2011,36,pop,89130
P,0,T,2001,T,pop,12273
P,0,T,2001,15,pop,7020
P,0,T,2001,27,pop,723
P,0,T,2001,32,pop,1118
P,0,T,2001,36,pop,3412
P,0,T,2011,T,pop,14606
P,0,T,2011,15,pop,7980
P,0,T,2011,27,pop,730
P,0,T,2011,32,pop,1443
P,0,T,2011,36,pop,4454
P,0,M,2001,T,pop,6307
P,0,M,2001,15,pop,3601
P,0,M,2001,27,pop,344
P,0,M,2001,32,pop,581
P,0,M,2001,36,pop,1781
P,0,M,2011,T,pop,7580
P,0,M,2011,15,pop,4161
P,0,M,2011,27,pop,343
P,0,M,2011,32,pop,737
P,0,M,2011,36,pop,2338
P,0,F,2001,T,pop,5966
P,0,F,2001,15,pop,3419
P,0,F,2001,27,pop,379
P,0,F,2001,32,pop,537
P,0,F,2001,36,pop,1631
P,0,F,2011,T,pop,7026
P,0,F,2011,15,pop,3818
P,0,F,2011,27,pop,386
P,0,F,2011,32,pop,705
P,0,F,2011,36,pop,2116
P,5,T,2001,T,pop,14719
P,5,T,2001,15,pop,7916
P,5,T,2001,27,pop,985
P,5,T,2001,32,pop,1512
P,5,T,2001,36,pop,4306
P,5,T,2011,T,pop,16121
P,5,T,2011,15,pop,8794
P,5,T,2011,27,pop,830
P,5,T,2011,32,pop,1536
P,5,T,2011,36,pop,4961
P,5,M,2001,T,pop,7520
P,5,M,2001,15,pop,4012
P,5,M,2001,27,pop,493
P,5,M,2001,32,pop,813
P,5,M,2001,36,pop,2202
P,5,M,2011,T,pop,8432
P,5,M,2011,15,pop,4590
P,5,M,2011,27,pop,449
P,5,M,2011,32,pop,813
P,5,M,2011,36,pop,2580
P,5,F,2001,T,pop,7199
P,5,F,2001,15,pop,3904
P,5,F,2001,27,pop,492
P,5,F,2001,32,pop,699
P,5,F,2001,36,pop,2104
P,5,F,2011,T,pop,7689
P,5,F,2011,15,pop,4204
P,5,F,2011,27,pop,381
P,5,F,2011,32,pop,722
P,5,F,2011,36,pop,2381
P,10,T,2001,T,pop,17068
P,10,T,2001,15,pop,8682
P,10,T,2001,27,pop,1408
P,10,T,2001,32,pop,2023
P,10,T,2001,36,pop,4955
P,10,T,2011,T,pop,16727
P,10,T,2011,15,pop,8738
P,10,T,2011,27,pop,1076
P,10,T,2011,32,pop,1606
P,10,T,2011,36,pop,5306
P,10,M,2001,T,pop,8715
P,10,M,2001,15,pop,4447
P,10,M,2001,27,pop,710
P,10,M,2001,32,pop,1022
P,10,M,2001,36,pop,2536
P,10,M,2011,T,pop,8608
P,10,M,2011,15,pop,4514
P,10,M,2011,27,pop,527
P,10,M,2011,32,pop,839
P,10,M,2011,36,pop,2728
P,10,F,2001,T,pop,8353
P,10,F,2001,15,pop,4235
P,10,F,2001,27,pop,698
P,10,F,2001,32,pop,1001
P,10,F,2001,36,pop,2419
P,10,F,2011,T,pop,8119
P,10,F,2011,15,pop,4224
P,10,F,2011,27,pop,549
P,10,F,2011,32,pop,768
P,10,F,2011,36,pop,2578
P,15,T,2001,T,pop,21986
P,15,T,2001,15,pop,11040
P,15,T,2001,27,pop,2036
P,15,T,2001,32,pop,2614
P,15,T,2001,36,pop,6296
P,15,T,2011,T,pop,18589
P,15,T,2011,15,pop,9410
P,15,T,2011,27,pop,1321
P,15,T,2011,32,pop,2013
P,15,T,2011,36,pop,5845
P,15,M,2001,T,pop,11071
P,15,M,2001,15,pop,5509
P,15,M,2001,27,pop,1018
P,15,M,2001,32,pop,1338
P,15,M,2001,36,pop,3206
P,15,M,2011,T,pop,9531
P,15,M,2011,15,pop,4801
P,15,M,2011,27,pop,647
P,15,M,2011,32,pop,1075
P,15,M,2011,36,pop,3008
P,15,F,2001,T,pop,10915
P,15,F,2001,15,pop,5531
P,15,F,2001,27,pop,1018
P,15,F,2001,32,pop,1276
P,15,F,2001,36,pop,3090
P,15,F,2011,T,pop,9058
P,15,F,2011,15,pop,4609
P,15,F,2011,27,pop,673
P,15,F,2011,32,pop,938
P,15,F,2011,36,pop,2837
P,20,T,2001,T,pop,30039
P,20,T,2001,15,pop,15189
P,20,T,2001,27,pop,2515
P,20,T,2001,32,pop,3400
P,20,T,2001,36,pop,8935
P,20,T,2011,T,pop,21648
P,20,T,2011,15,pop,10688
P,20,T,2011,27,pop,1925
P,20,T,2011,32,pop,2551
P,20,T,2011,36,pop,6484
P,20,M,2001,T,pop,14721
P,20,M,2001,15,pop,7585
P,20,M,2001,27,pop,1183
P,20,M,2001,32,pop,1605
P,20,M,2001,36,pop,4348
P,20,M,2011,T,pop,10842
P,20,M,2011,15,pop,5369
P,20,M,2011,27,pop,908
P,20,M,2011,32,pop,1296
P,20,M,2011,36,pop,3270
P,20,F,2001,T,pop,15318
P,20,F,2001,15,pop,7604
P,20,F,2001,27,pop,1332
P,20,F,2001,32,pop,1795
P,20,F,2001,36,pop,4587
P,20,F,2011,T,pop,10805
P,20,F,2011,15,pop,5319
P,20,F,2011,27,pop,1016
P,20,F,2011,32,pop,1255
P,20,F,2011,36,pop,3214
P,25,T,2001,T,pop,36898
